Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0805, 1uF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",30.400000,22.425000,270.000000,top
"C2","0805, 1uF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",36.000000,29.000000,270.000000,top
"C3","0805, 1uF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.975000,5.000000,180.000000,top
"C4","0805, 100nF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.000000,17.000000,180.000000,top
"C5","0805, 1uF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",49.250000,12.250000,180.000000,top
"C6","0805, 10nF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",49.250000,10.250000,180.000000,top
"C7","0805, 100nF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",49.250000,8.250000,180.000000,top
"C8","0805, 1uF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",30.400000,18.375000,90.000000,top
"C9","0805, 1uF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",36.000000,25.000000,90.000000,top
"C10","0805, 1uF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",59.950000,5.000000,0.000000,top
"C11","0805, 100nF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",47.400000,30.800000,270.000000,top
"C13","0805, 1uF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",38.000000,25.000000,90.000000,top
"C14","0805, 10nF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.000000,25.000000,90.000000,top
"C15","0805, 100nF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",42.000000,25.000000,90.000000,top
"C16","0805, 1uF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",66.000000,14.000000,90.000000,top
"C17","0805, 1uF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",35.000000,18.400000,90.000000,top
"C18","0805, 10nF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.000000,18.400000,90.000000,top
"C19","0805, 1uF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",66.000000,17.975000,270.000000,top
"C20","0805, 100nF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",39.000000,18.400000,90.000000,top
"C21","0805, 100nF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.000000,9.000000,0.000000,top
"C22","0805, 10uF, 10V, X5R, 20% (DNP)","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",64.000000,17.975000,90.000000,top
"C23","0805, 100nF, 10V, X5R, 20% (DNP)","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.000000,18.000000,270.000000,top
"C24","0805, 1uF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",59.000000,31.000000,0.000000,top
"C25","0805, 1uF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.000000,11.000000,0.000000,top
"C26","0805, 10nF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",59.000000,29.000000,0.000000,top
"C27","0805, 10nF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.000000,13.000000,0.000000,top
"C28","0805, 100nF, 10V, X5R, 20%","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",59.000000,27.000000,0.000000,top
"D1","Power LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",58.000000,3.000000,180.000000,top
"R1","0805, 10k, 1/16W","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",10.250000,27.500000,0.000000,top
"R2","0805, 1.5k, 1/16W, 1%","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.025000,3.000000,180.000000,top
"R3","0201, 0ohm (DNP)","R_0201_0603Metric",16.750000,19.250000,270.000000,top
"R4","0805, 10k, 1/16W (DNP)","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",10.225000,29.500000,0.000000,top
"R5","0805, 10k, 1/16W","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",15.250000,18.000000,90.000000,top
"R6","0201, 0ohm (DNP)","R_0201_0603Metric",47.000000,26.255000,270.000000,top
"R7","0201, 0ohm (DNP)","R_0201_0603Metric",49.600000,25.800000,180.000000,top
"R8","0805, 1.5k, 1/16W, 1%","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.275216,35.275216,45.000000,top
"R9","0805, 1.5k, 1/16W, 1%","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",74.800000,33.800000,45.000000,top
"R10","0805, 100ohm, 1/16W, 1% (DNP)","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",60.000000,20.000000,90.000000,top
"R11","0805, 22ohm, 1/16W, 1%","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.824784,36.724784,45.000000,top
"R12","0805, 22ohm, 1/16W, 1%","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",76.200000,32.400000,45.000000,top
"R13","0201, 0ohm (DNP)","R_0201_0603Metric",13.750000,19.180000,90.000000,top
"U1","LDO-SOT23-1.2V","SOT-23-5_HandSoldering",27.350000,20.050000,270.000000,top
"U2","LDO-SOT23-3.3V","SOT-23-5_HandSoldering",33.000000,27.000000,270.000000,top
"U3","LDO-SOT23-2.5V","SOT-23-5_HandSoldering",62.000000,8.000000,180.000000,top
"U4","SPI Flash","SOIC-8",18.000000,13.000000,270.000000,top
"U5","ICE40UP5K-SG48I","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",49.000000,20.000000,0.000000,top
"U8","LDO-SOT23-1.2V","SOT-23-5_HandSoldering",69.000000,16.000000,90.000000,top
